id,subject,grade,sourceType,sourceId,lessonId,title,text,profileId,voice,localOutputPath,r2ObjectKey,rawInstanceCount,lessonIds,warning
eng6-p2b-vocab-00001,english,6,vocabulary-word,subject-05ff882e,1,subject,subject,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\subject-05ff882e.mp3,audio/tts/assets/en-v1/vocabulary-word/subject-05ff882e.mp3,3,1|2|3,meaning-not-english:môn học|meaning-not-english:môn học|meaning-not-english:môn học
eng6-p2b-vocab-00002,english,6,vocabulary-word,classmate-f6251017,1,classmate,classmate,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\classmate-f6251017.mp3,audio/tts/assets/en-v1/vocabulary-word/classmate-f6251017.mp3,3,1|2|3,meaning-not-english:bạn cùng lớp|meaning-not-english:bạn cùng lớp|meaning-not-english:bạn cùng lớp
eng6-p2b-vocab-00003,english,6,vocabulary-word,uniform-10ab68a6,1,uniform,uniform,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\uniform-10ab68a6.mp3,audio/tts/assets/en-v1/vocabulary-word/uniform-10ab68a6.mp3,3,1|2|3,meaning-not-english:đồng phục|meaning-not-english:đồng phục|meaning-not-english:đồng phục
eng6-p2b-vocab-00004,english,6,vocabulary-word,library-0fc9673d,1,library,library,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\library-0fc9673d.mp3,audio/tts/assets/en-v1/vocabulary-word/library-0fc9673d.mp3,3,1|2|3,meaning-not-english:thư viện|meaning-not-english:thư viện|meaning-not-english:thư viện
eng6-p2b-vocab-00005,english,6,vocabulary-word,homework-09f46780,1,homework,homework,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\homework-09f46780.mp3,audio/tts/assets/en-v1/vocabulary-word/homework-09f46780.mp3,3,1|2|3,meaning-not-english:bài tập về nhà|meaning-not-english:bài tập về nhà|meaning-not-english:bài tập về nhà
eng6-p2b-vocab-00006,english,6,vocabulary-word,lesson-b8cad31e,1,lesson,lesson,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\lesson-b8cad31e.mp3,audio/tts/assets/en-v1/vocabulary-word/lesson-b8cad31e.mp3,3,1|2|3,meaning-not-english:bài học|meaning-not-english:bài học|meaning-not-english:bài học
eng6-p2b-vocab-00007,english,6,vocabulary-word,playground-9b1145b7,1,playground,playground,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\playground-9b1145b7.mp3,audio/tts/assets/en-v1/vocabulary-word/playground-9b1145b7.mp3,3,1|2|3,meaning-not-english:sân chơi|meaning-not-english:sân chơi|meaning-not-english:sân chơi
eng6-p2b-vocab-00008,english,6,vocabulary-word,pencil-case-f498b399,1,pencil case,pencil case,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\pencil-case-f498b399.mp3,audio/tts/assets/en-v1/vocabulary-word/pencil-case-f498b399.mp3,3,1|2|3,meaning-not-english:hộp bút|meaning-not-english:hộp bút|meaning-not-english:hộp bút
eng6-p2b-vocab-00009,english,6,vocabulary-word,calculator-12e263f2,1,calculator,calculator,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\calculator-12e263f2.mp3,audio/tts/assets/en-v1/vocabulary-word/calculator-12e263f2.mp3,3,1|2|3,meaning-not-english:máy tính bỏ túi|meaning-not-english:máy tính bỏ túi|meaning-not-english:máy tính bỏ túi
eng6-p2b-vocab-00010,english,6,vocabulary-word,boarding-school-5336c156,1,boarding school,boarding school,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\boarding-school-5336c156.mp3,audio/tts/assets/en-v1/vocabulary-word/boarding-school-5336c156.mp3,3,1|2|3,meaning-not-english:trường nội trú|meaning-not-english:trường nội trú|meaning-not-english:trường nội trú
eng6-p2b-vocab-00011,english,6,vocabulary-word,international-school-8aa40976,1,international school,international school,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\international-school-8aa40976.mp3,audio/tts/assets/en-v1/vocabulary-word/international-school-8aa40976.mp3,3,1|2|3,meaning-not-english:trường quốc tế|meaning-not-english:trường quốc tế|meaning-not-english:trường quốc tế
eng6-p2b-vocab-00012,english,6,vocabulary-word,science-95896230,1,science,science,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\science-95896230.mp3,audio/tts/assets/en-v1/vocabulary-word/science-95896230.mp3,3,1|2|3,meaning-not-english:khoa học|meaning-not-english:khoa học|meaning-not-english:khoa học
eng6-p2b-vocab-00013,english,6,vocabulary-word,living-room-7d4ca31e,4,living room,living room,en-v1,en-US-Neural2-F,F:\1_A_Disk_D\khuong-binh\lop6-tts-audio\en-v1\vocabulary-word\living-room-7d4ca31e.mp3,audio/tts/assets/en-v1/vocabulary-word/living-room-7d4ca31e.mp3,3,4|5|6,meaning-not-english:phòng khách|meaning-not-english:phòng khách|meaning-not-english:phòng khách
